addressCity,addressState,area,baths,beds,latitude,longitude,price
San Diego,CA,1350,2.0,3,32.753698,-117.110075,"$2,750/mo"
San Diego,CA,570,1.0,1,32.755903,-117.088694,"$1,445/mo"
La Jolla,CA,1714,3.0,3,32.868342,-117.234642,"$3,000/mo"
San Diego,CA,625,1.0,2,32.743636,-117.170835,"$1,825+/mo"
San Diego,CA,913,2.0,2,32.794145,-117.230469,"$3,250/mo"
San Diego,CA,,1.0,1,32.758074,-117.090801,"$1,425/mo"
San Diego,CA,,,,32.806708,-117.149353,
La Jolla,CA,,1.0,1,32.823591,-117.275436,"$2,595/mo"
San Diego,CA,775,1.0,1,32.743242,-117.121355,"$1,950/mo"
San Diego,CA,680,1.0,1,32.756562,-117.128588,"$1,390/mo"
San Diego,CA,,,,32.759998,-117.082424,
San Diego,CA,1000,1.0,2,32.796151,-117.249721,"$1,975/mo"
San Diego,CA,954,2.0,2,32.925566,-117.141704,"$2,350/mo"
San Diego,CA,1682,2.5,3,32.963566,-117.155663,"$2,850/mo"
San Diego,CA,300,1.0,0,32.759228,-117.076404,"$1,300/mo"
San Diego,CA,,,,32.991388,-117.06909,
San Diego,CA,1209,2.0,2,33.0302,-117.076428,"$2,495/mo"
San Diego,CA,,,,32.787325,-117.096242,
San Diego,CA,600,1.0,1,32.802902,-117.199779,"$1,650/mo"
San Diego,CA,4050,5.0,5,32.969279,-117.190294,"$7,000/mo"
San Diego,CA,,,,32.864554,-117.228144,
San Diego,CA,880,2.0,2,32.748179,-117.114715,"$1,985/mo"
San Diego,CA,1350,2.5,3,32.802858,-117.213497,"$3,090/mo"
San Diego,CA,2769,3.0,4,32.927318,-117.210421,"$6,200/mo"
San Diego,CA,,,,32.767542,-117.173513,
San Diego,CA,,,,32.879649,-117.212144,
San Diego,CA,817,1.0,2,32.800399,-117.246917,"$3,400/mo"
San Diego,CA,,1.0,2,32.704912,-117.087485,"$1,350/mo"
San Diego,CA,2076,3.0,4,32.747159,-117.165432,"$4,400/mo"
San Diego,CA,,,,32.752769,-117.231697,
San Diego,CA,900,2.0,2,32.76095,-117.145253,"$1,895/mo"
San Diego,CA,,1.0,0,32.714449,-117.138462,"$1,595/mo"
San Diego,CA,,1.0,1,32.717214,-117.12893,"$1,750/mo"
San Diego,CA,,,,32.961458,-117.091091,
San Diego,CA,849,2.0,2,32.759697,-117.083277,"$2,045/mo"
San Diego,CA,2302,2.5,3,32.976732,-117.204916,"$4,650/mo"
San Diego,CA,1400,2.0,3,32.715024,-117.131923,"$3,495/mo"
San Diego,CA,,,,32.840254,-117.082694,
San Diego,CA,2100,2.5,4,32.904631,-117.076323,"$3,700/mo"
San Diego,CA,,2.0,2,32.794564,-117.123088,"$1,995/mo"
San Diego,CA,400,1.0,1,32.699193,-117.122834,"$1,195/mo"
San Diego,CA,,1.0,0,32.696651,-117.137834,"$1,125/mo"
San Diego,CA,,,,32.754075,-117.161671,
