,area in sqft,baths,beds,latitude,longitude,monthly price in $
143,2348.0,3.0,4.0,32.969365,-117.173966,4995.0
144,720.0,2.0,2.0,32.754368,-117.128574,2300.0
145,1552.0,2.5,2.0,32.794558,-117.233186,3300.0
146,750.0,1.0,2.0,32.746571,-117.124698,2595.0
147,306.0,1.0,0.0,32.746601,-117.133905,1295.0
148,750.0,1.0,2.0,32.756646,-117.104281,1895.0
149,670.0,1.0,1.0,32.76016,-117.08541899999999,1395.0
150,550.0,1.0,1.0,32.7549,-117.08578,1300.0
151,520.0,1.0,1.0,32.78904,-117.23613999999999,1990.0
152,700.0,1.0,1.0,32.763108,-117.12375700000001,1500.0
153,1436.0,2.5,3.0,32.945322999999995,-117.22856599999999,3750.0
154,1628.0,2.5,3.0,32.768869,-117.15598,2750.0
155,2700.0,4.0,7.0,32.768144,-117.073097,6300.0
156,1915.0,1.5,3.0,32.850989,-117.22147199999999,3475.0
157,650.0,1.0,1.0,32.756605,-117.120345,1595.0
158,560.0,1.0,1.0,32.758707,-117.10469199999999,1495.0
159,1841.0,2.0,2.0,32.800846,-117.23285600000001,3900.0
160,2541.0,2.5,3.0,32.815379,-117.25053500000001,5500.0
161,669.0,1.0,1.0,32.798971,-117.092795,1495.0
162,1284.0,2.0,3.0,32.955376,-117.251402,4950.0
163,2101.0,2.5,2.0,32.865983,-117.206724,3795.0
164,650.0,1.0,2.0,32.751243,-117.17503400000001,1600.0
165,794.0,1.5,2.0,32.758685,-117.068614,1850.0
166,750.0,1.0,2.0,32.706978,-117.13225600000001,2020.0
167,1883.0,2.0,2.0,32.727981,-117.11055800000001,2500.0
168,2571.0,3.0,5.0,32.957947999999995,-117.130826,3200.0
169,750.0,1.0,1.0,32.735563,-117.25317,1650.0
170,2268.0,2.5,4.0,32.820479999999996,-117.23517,4950.0
171,1000.0,2.0,2.0,32.824379,-117.20700000000001,2400.0
172,1052.0,2.0,2.0,32.920840000000005,-117.11401000000001,2400.0
